Modules;Modules
"Upload a module";"Envoyer un module"
"Select a module to upload";"Sélectionner le module à installer :"
"Module Installation";"Installation du module"
"Processing the installation";"Installation en cours"
"Please wait, we're installing your module";"Veuillez patienter quelques instants, votre module est en cours d'installation"
"This process may take few minutes, please do not refresh the page";"Ce processus peut prendre quelques minutes, merci de ne pas rafraichir la page."
"Module successfully installed";"Module installé avec succès !"
"The installation of the module %s has failed: <span id=""installation_failed_because""></span>";"L'installation du module %s a échoué : <span id=""installation_failed_because""></span>"
"No module to install";"Aucun module à installer"
"All of your modules are up to date";"Tous vos modules sont à jour"
"The folder %s is not writable. Please fix this issue and try again.";"Le dossier %s n'a pas les droits en écriture. Veuillez corriger ce problème et réessayer."
"Unable to extract the archive.";"Impossible d'extraire l'archive."
"Unable to open the archive.";"Impossible d'ouvrir l'archive"
"The following folders are not writable: <br /> - %s";"Les dossiers suivants n'ont pas les droits en écriture : <br /> - %s"
"The folder %s is not writable.";"Le dossier %s n'a pas les droits en écriture."
"Please, enter a name";"Veuillez saisir le nom"
"The database connection failed. Please, check the entered information.";"Échec de la connexion. Merci de vérifier vos informations"
"The file sent is not a valid archive";"Le fichier envoyé n'est pas une archive valide"
